,timesteps,ep_reward,num_updates,episodes
0,18,18.0,0,0
1,20,20.0,0,1
2,30,30.0,0,2
3,21,21.0,0,3
4,26,26.0,0,4
5,14,14.0,0,5
6,24,24.0,0,6
7,20,20.0,0,7
8,21,21.0,0,8
9,72,72.0,0,9
10,20,20.0,0,10
11,22,22.0,0,11
12,17,17.0,0,12
13,48,48.0,0,13
14,11,11.0,0,14
15,44,44.0,0,15
16,12,12.0,0,16
17,30,30.0,0,17
18,12,12.0,0,18
19,22,22.0,0,19
20,25,25.0,0,20
21,42,42.0,0,21
22,15,15.0,0,22
23,14,14.0,0,23
24,23,23.0,0,24
25,20,20.0,0,25
26,14,14.0,0,26
27,20,20.0,0,27
28,24,24.0,0,28
29,10,10.0,0,29
30,13,13.0,0,30
31,42,42.0,0,31
32,10,10.0,0,32
33,16,16.0,0,33
34,32,32.0,0,34
35,16,16.0,0,35
36,13,13.0,0,36
37,14,14.0,0,37
38,20,20.0,0,38
39,12,12.0,0,39
40,19,19.0,0,40
41,15,15.0,0,41
42,17,17.0,0,42
43,82,82.0,0,43
44,31,31.0,0,44
45,21,21.0,0,45
46,25,25.0,0,46
47,28,28.0,0,47
48,9,9.0,0,48
49,14,14.0,0,49
50,27,27.0,0,50
51,21,21.0,0,51
52,12,12.0,0,52
53,34,34.0,0,53
54,28,28.0,0,54
55,11,11.0,0,55
56,23,23.0,0,56
57,16,16.0,0,57
58,18,18.0,0,58
59,11,11.0,0,59
60,17,17.0,0,60
61,42,42.0,0,61
62,14,14.0,0,62
63,13,13.0,0,63
64,47,47.0,0,64
65,38,38.0,0,65
66,43,43.0,0,66
67,38,38.0,0,67
68,66,66.0,0,68
69,23,23.0,0,69
70,39,39.0,0,70
71,16,16.0,0,71
72,20,20.0,0,72
73,25,25.0,0,73
74,12,12.0,0,74
75,19,19.0,0,75
76,20,20.0,0,76
77,38,38.0,0,77
78,12,12.0,0,78
79,46,46.0,0,79
80,39,39.0,0,80
81,16,16.0,1,81
82,46,46.0,0,82
83,15,15.0,0,83
84,30,30.0,0,84
85,40,40.0,0,85
86,37,37.0,0,86
87,35,35.0,0,87
88,63,63.0,0,88
89,18,18.0,0,89
90,46,46.0,0,90
91,14,14.0,0,91
92,37,37.0,0,92
93,40,40.0,0,93
94,15,15.0,0,94
95,48,48.0,0,95
96,15,15.0,0,96
97,20,20.0,0,97
98,26,26.0,0,98
99,33,33.0,0,99
100,42,42.0,0,100
101,13,13.0,0,101
102,16,16.0,0,102
103,11,11.0,0,103
104,20,20.0,0,104
105,24,24.0,0,105
106,25,25.0,0,106
107,39,39.0,0,107
108,79,79.0,0,108
109,43,43.0,0,109
110,11,11.0,0,110
111,13,13.0,0,111
112,20,20.0,0,112
113,22,22.0,0,113
114,15,15.0,0,114
115,29,29.0,0,115
116,34,34.0,0,116
117,14,14.0,0,117
118,22,22.0,0,118
119,22,22.0,0,119
120,38,38.0,0,120
121,27,27.0,0,121
122,36,36.0,0,122
123,17,17.0,0,123
124,41,41.0,0,124
125,28,28.0,0,125
126,12,12.0,0,126
127,80,80.0,0,127
128,14,14.0,0,128
129,14,14.0,0,129
130,48,48.0,0,130
131,20,20.0,0,131
132,27,27.0,0,132
133,32,32.0,0,133
134,33,33.0,0,134
135,14,14.0,0,135
136,12,12.0,0,136
137,22,22.0,0,137
138,39,39.0,0,138
139,11,11.0,0,139
140,20,20.0,0,140
141,22,22.0,0,141
142,40,40.0,0,142
143,27,27.0,0,143
144,36,36.0,0,144
145,27,27.0,0,145
146,14,14.0,0,146
147,32,32.0,0,147
148,35,35.0,0,148
149,16,16.0,0,149
150,13,13.0,0,150
151,38,38.0,0,151
152,11,11.0,0,152
153,30,30.0,1,153
154,100,100.0,0,154
155,18,18.0,0,155
156,79,79.0,0,156
157,60,60.0,0,157
158,46,46.0,0,158
159,13,13.0,0,159
160,46,46.0,0,160
161,14,14.0,0,161
162,30,30.0,0,162
163,16,16.0,0,163
164,19,19.0,0,164
165,22,22.0,0,165
166,73,73.0,0,166
167,23,23.0,0,167
168,18,18.0,0,168
169,25,25.0,0,169
170,47,47.0,0,170
171,25,25.0,0,171
172,70,70.0,0,172
173,50,50.0,0,173
