,timesteps,ep_reward,num_updates,episodes
0,14,14.0,0,0
1,20,20.0,0,1
2,16,16.0,0,2
3,42,42.0,0,3
4,31,31.0,0,4
5,38,38.0,0,5
6,16,16.0,0,6
7,17,17.0,0,7
8,12,12.0,0,8
9,15,15.0,0,9
10,14,14.0,0,10
11,14,14.0,0,11
12,13,13.0,0,12
13,33,33.0,0,13
14,23,23.0,0,14
15,83,83.0,0,15
16,14,14.0,0,16
17,17,17.0,0,17
18,39,39.0,0,18
19,24,24.0,0,19
20,12,12.0,0,20
21,40,40.0,0,21
22,24,24.0,0,22
23,47,47.0,0,23
24,11,11.0,0,24
25,18,18.0,0,25
26,26,26.0,0,26
27,14,14.0,0,27
28,11,11.0,0,28
29,16,16.0,0,29
30,36,36.0,0,30
31,23,23.0,0,31
32,17,17.0,0,32
33,14,14.0,0,33
34,21,21.0,0,34
35,16,16.0,0,35
36,52,52.0,0,36
37,13,13.0,0,37
38,12,12.0,0,38
39,42,42.0,0,39
40,29,29.0,0,40
41,27,27.0,0,41
42,18,18.0,0,42
43,13,13.0,0,43
44,17,17.0,0,44
45,15,15.0,0,45
46,27,27.0,0,46
47,10,10.0,0,47
48,13,13.0,0,48
49,13,13.0,0,49
50,15,15.0,0,50
51,23,23.0,0,51
52,10,10.0,0,52
53,25,25.0,0,53
54,10,10.0,0,54
55,27,27.0,0,55
56,22,22.0,0,56
57,13,13.0,0,57
58,85,85.0,0,58
59,13,13.0,0,59
60,33,33.0,0,60
61,21,21.0,0,61
62,20,20.0,0,62
63,41,41.0,0,63
64,20,20.0,0,64
65,11,11.0,0,65
66,18,18.0,0,66
67,19,19.0,0,67
68,20,20.0,0,68
69,13,13.0,0,69
70,27,27.0,0,70
71,9,9.0,0,71
72,22,22.0,0,72
73,24,24.0,0,73
74,16,16.0,0,74
75,13,13.0,0,75
76,53,53.0,0,76
77,11,11.0,0,77
78,26,26.0,0,78
79,43,43.0,0,79
80,9,9.0,0,80
81,16,16.0,0,81
82,11,11.0,0,82
83,13,13.0,0,83
84,12,12.0,0,84
85,19,19.0,0,85
86,12,12.0,0,86
87,15,15.0,0,87
88,16,16.0,0,88
89,14,14.0,0,89
90,58,58.0,1,90
91,16,16.0,0,91
92,20,20.0,0,92
93,36,36.0,0,93
94,22,22.0,0,94
95,13,13.0,0,95
96,58,58.0,0,96
97,17,17.0,0,97
98,15,15.0,0,98
99,50,50.0,0,99
100,17,17.0,0,100
101,40,40.0,0,101
102,14,14.0,0,102
103,22,22.0,0,103
104,14,14.0,0,104
