,timesteps,ep_reward,num_updates,episodes
0,200,-16.299999999999983,0,0
1,100,-14.39999999999999,0,1
2,200,-22.90000000000003,0,2
3,90,-13.199999999999983,0,3
4,200,-0.8000000000000077,0,4
5,200,9.100000000000001,0,5
6,200,-18.300000000000033,0,6
7,200,-16.699999999999967,0,7
8,200,-11.19999999999997,0,8
9,200,-23.100000000000023,0,9
10,200,-10.699999999999985,0,10
11,200,-3.500000000000007,1,11
12,200,7.200000000000015,0,12
13,200,3.0000000000000324,0,13
14,200,31.599999999999966,0,14
15,200,-8.099999999999984,0,15
16,200,22.700000000000003,0,16
17,200,22.09999999999998,0,17
18,200,8.600000000000032,0,18
19,200,-1.8000000000000038,0,19
20,200,-8.999999999999973,0,20
21,200,26.499999999999982,1,21
22,200,36.89999999999991,0,22
23,200,4.500000000000009,0,23
24,61,11.600000000000007,0,24
25,200,26.09999999999993,0,25
26,200,19.19999999999998,0,26
27,200,28.299999999999947,0,27
28,200,33.599999999999895,0,28
29,200,36.79999999999994,0,29
30,200,11.100000000000009,0,30
31,144,16.200000000000017,0,31
32,200,55.49999999999991,1,32
33,200,40.19999999999989,0,33
34,200,50.699999999999896,0,34
35,200,46.899999999999885,0,35
36,200,45.39999999999992,0,36
37,200,44.49999999999988,0,37
38,200,37.59999999999992,0,38
39,200,46.49999999999989,0,39
40,200,37.99999999999988,0,40
41,150,44.999999999999936,0,41
42,65,19.400000000000006,1,42
43,200,60.2999999999999,0,43
44,200,72.89999999999992,0,44
45,68,19.499999999999993,0,45
46,63,20.0,0,46
47,200,68.09999999999991,0,47
48,122,41.09999999999995,0,48
49,200,57.099999999999895,0,49
50,53,21.699999999999992,0,50
51,140,45.999999999999915,0,51
52,200,68.69999999999993,0,52
53,200,57.0999999999999,0,53
54,142,38.399999999999935,0,54
55,200,65.39999999999992,0,55
56,200,87.30000000000001,1,56
57,200,91.20000000000007,0,57
58,119,40.799999999999955,0,58
59,165,71.39999999999998,0,59
60,170,69.79999999999995,0,60
61,61,19.79999999999999,0,61
62,69,19.800000000000004,0,62
63,200,94.10000000000008,0,63
64,116,48.99999999999995,0,64
65,163,70.29999999999997,0,65
66,123,40.79999999999996,0,66
67,200,76.99999999999997,0,67
68,200,84.10000000000002,0,68
69,200,109.50000000000009,1,69
70,200,135.70000000000013,0,70
71,200,129.80000000000013,0,71
72,44,21.5,0,72
73,112,49.899999999999956,0,73
74,200,109.30000000000015,0,74
75,157,71.99999999999997,0,75
76,37,21.599999999999994,0,76
77,156,79.6,0,77
78,137,81.70000000000002,0,78
79,200,124.90000000000012,0,79
80,91,50.89999999999997,0,80
81,200,128.40000000000006,0,81
82,144,81.4,1,82
83,76,51.999999999999986,0,83
84,35,21.999999999999996,0,84
85,37,21.799999999999997,0,85
86,199,143.3000000000001,0,86
87,164,113.60000000000014,0,87
88,117,82.90000000000006,0,88
89,123,82.9,0,89
90,200,148.9000000000001,0,90
91,164,112.70000000000007,0,91
92,200,144.3000000000001,0,92
93,82,51.79999999999998,0,93
94,33,22.2,0,94
95,189,145.0000000000001,0,95
96,200,143.0000000000001,0,96
97,119,83.30000000000001,0,97
98,145,114.60000000000005,1,98
99,200,139.5000000000001,0,99
100,200,138.8000000000001,0,100
101,70,52.59999999999999,0,101
102,200,157.50000000000009,0,102
103,154,113.3000000000001,0,103
104,200,174.70000000000002,0,104
105,60,47.199999999999996,0,105
106,200,151.60000000000008,0,106
107,196,144.7000000000001,0,107
108,200,163.20000000000007,0,108
109,200,150.90000000000012,1,109
110,200,174.70000000000005,0,110
111,200,160.6000000000001,0,111
112,62,46.79999999999999,0,112
113,151,140.00000000000003,0,113
114,75,52.09999999999998,0,114
115,125,109.60000000000005,0,115
116,200,167.00000000000009,0,116
117,200,176.90000000000003,0,117
118,160,140.20000000000002,0,118
119,200,166.1000000000001,0,119
120,200,167.40000000000003,0,120
121,200,171.60000000000005,0,121
122,200,180.20000000000005,1,122
123,200,179.10000000000005,0,123
124,200,184.60000000000005,0,124
125,200,180.20000000000005,0,125
126,119,110.20000000000002,0,126
127,200,179.10000000000008,0,127
128,200,176.90000000000003,0,128
129,162,140.4,0,129
130,126,109.50000000000004,0,130
131,186,171.70000000000005,0,131
132,200,180.20000000000002,0,132
133,200,190.10000000000002,1,133
134,200,184.60000000000002,0,134
135,200,185.90000000000003,0,135
136,200,185.70000000000005,0,136
137,200,186.8,0,137
138,200,186.80000000000004,0,138
139,200,183.50000000000003,0,139
140,200,191.20000000000002,0,140
141,200,191.20000000000002,0,141
142,200,187.90000000000003,0,142
143,200,192.3,1,143
144,200,189.00000000000003,0,144
145,200,195.60000000000002,0,145
146,200,194.5,0,146
147,200,186.80000000000004,0,147
148,200,193.4,0,148
149,200,184.80000000000004,0,149
150,200,191.20000000000002,0,150
151,200,187.90000000000003,0,151
152,200,194.5,0,152
153,200,195.60000000000002,1,153
154,200,194.50000000000003,0,154
155,200,194.50000000000003,0,155
156,200,194.5,0,156
157,200,191.20000000000002,0,157
158,200,194.50000000000003,0,158
159,200,194.50000000000003,0,159
160,200,189.00000000000003,0,160
161,200,196.70000000000002,0,161
162,200,196.70000000000002,0,162
163,200,198.9,1,163
164,200,196.70000000000002,0,164
165,200,195.6,0,165
166,200,198.9,0,166
167,200,196.70000000000002,0,167
168,200,195.6,0,168
169,200,200.0,0,169
170,200,198.9,0,170
171,200,200.0,0,171
172,200,195.60000000000002,0,172
173,200,200.0,1,173
174,200,198.9,0,174
175,200,200.0,0,175
176,200,200.0,0,176
177,200,200.0,0,177
178,200,198.9,0,178
179,200,200.0,0,179
180,200,198.9,0,180
181,200,200.0,0,181
182,200,200.0,0,182
183,200,200.0,1,183
184,200,200.0,0,184
185,200,200.0,0,185
186,200,198.9,0,186
187,200,200.0,0,187
188,200,200.0,0,188
189,200,200.0,0,189
190,200,200.0,0,190
191,200,200.0,0,191
192,200,198.9,0,192
193,200,200.0,1,193
194,200,200.0,0,194
195,200,200.0,0,195
196,200,200.0,0,196
197,200,198.9,0,197
198,200,200.0,0,198
199,200,198.9,0,199
200,200,200.0,0,200
